VAR_NAMES,LABEL,DATA_TYPE,VALUE_LABELS,MISSING_LIST,JUMP_LIST,HARD_LIMITS,DETECTION_LIMITS,CONTRADICTIONS,SOFT_LIMITS,DISTRIBUTION,DECIMALS,DATA_ENTRY_TYPE,KEY_OBSERVER,KEY_DEVICE,KEY_DATETIME,KEY_STUDY_SEGMENT,VARIABLE_ROLE,VARIABLE_ORDER,LONG_LABEL
NTproBNP.date,NTproBNP.date,datetime,,NA,NA,,NA,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.value,ntprobnp,float,,NA,NA,[500;1500],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.code,NTproBNP.code,integer,1 = other | 2 = 33763-4 | 3 = 71425-3 | 4 = 33762-6 | 5 = 83107-3 | 6 =  83108-1 | 7 = 77622-9 | 8 = 77621-1,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.codeSystem,NTproBNP.codeSystem,integer,1 = other | 2 = http://loinc.org ,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unit,NTproBNP.unit,integer,1 = other | 2 = pg/mL,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unitSystem,NTproBNP.unitSystem,integer,1 = other | 2 = http://unitsofmeasure.org ,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gender,gender,integer,1 = other | 2 = male | 3 = female ,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birthdate,birthdate,datetime,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.start,encounter.start,datetime,,NA,NA,,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.end,encounter.end,datetime,,NA,NA,,NA,1001 | 1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
